sentiment,review_body,product_category
-1,Loved how this top looked online and couldn't wait to get it. i ordered the xs and it was huge and also very short in length compared to the picture online. i love the fabric and design but the fit was totally off. this is going back!,Blouses
-1,"This top is a joke unless you are really into expensive clown wear. i thought this looked whimsical  fun and a well-designed piece when i saw it on line--especially at this high price. i started to laugh before i even pulled the entire top of out the bag when i got it in the mail today. it is not expensive looking at all  and the pom poms look like a sad craft project rather than a special detail. it is a bit juvenile too. even if you wore it and were going for ""ironic""  it would be difficult to",Blouses
-1,I agree with the other review. the fabric and pattern are adorable and well made. the fabric is not sheer at all and great quality;however  the shirt is very wide. i am a 34/26/36 and the small is way too big. the arm holes are perfect but the bottom is uncomfortably large and awkward in appearance.,Blouses
-1,I tried on this top and it looked fine until i tried to move. you can't lift your arms. i tried on a larger size but still felt like the movement was limited in the back and arm areas.,Blouses
-1,I recently purchased this blouse on their 40% off sale in white. i was hoping for a crisp white structured blouse. i did read all the reviews and thought i would give it a try anyway. it is awful. there is no structure or shape but the quality is the reason i am returning. it feels like a napkin or thinner. not even worth the extra sale price. i will be returning.,Blouses
-1,Too wide! the design is cute but the wideness of the overall piece and arms made me lose my shape. you can't see your figure underneath at all. i don't like pieces like that. this went back.,Blouses
-1,This top is tight across the bust (i am a 32dd cup) and more trapeze-shaped than the picture shows. if you are smaller busted  it may not flare out as much. also- the sz 10 is what was tight - and i usually wear a sz. 4 or 6  or small-size top/blouse. in the end  this wasn't very flattering as it looked more like a maternity top.,Blouses
-1,I just returned this top. i agree with the previous reviewer. the neckline is way too deep  i ordered small and i looked ridiculous in it. also the ruffles didn't look so great on me either.,Blouses
-1,The material is so thin and so itchy..like other reviewers stated..it itches so bad and feels like sandpaper..i thought it would be ok to wear a tank top underneath but sleeves are still itchy. otherwise the design is great and the long peplum hem is very pretty and would look great with skinny pants or leggings and boots,Blouses
0,Loved almost everything about this top. the colors are great  comfortable fit  but the length was a little too long for my 5'4 frame. i also wasn't a big fan of the large side slit. i would still recommend this great top.,Blouses
0,I had high hopes for this top. really boxy  short,Blouses
0,First  i absolutely love cloth & stone. but lately i'm finding some of the styles are going in a direction that just doesn't fit my style. that's ok because they still have some good basics.       what i mean is the cut. a lot of their pieces are super long in the back and super short in the front (ie their slip dress they have out right now). this particular tank is like that  although this one is borderline. the sides cut up a little too high for my tastes and i can't help but think i'm wearin,Blouses
0,This is such a cute design  but it's so short! it barely hits at my hips. you'd have to wear a layer under it to keep your tummy from being exposed. i'm also not thrilled with the buttons - i am a 34c bra size and the second button was gaping open on the size 4 top. i wish they'd been sewn shut - the neckline is so big  it's not like the buttons need to function. i got the burgundy with pink flowers and the colors are great. too bad it's so short and gapes open at the bust. going back.,Blouses
0,"Tried this lovely with high waste  wide leg  black flowy pants. everything i could hope for and more  but not quite!    size: blindly ordered size 6. i'm usually a small  occasionally xs in retailer brands like floreat and akemi+kin. i'm 5'5"" tall  130 lbs  34d  35-29-37  long torso  narrow shoulders  and short arms.    fit: size 6 had just enough space through the bust. the lace edged sleeves were roomy and just reached my wrists. the shoulders were just right. extra fabric ballooned out around t",Blouses
